NAME,LSOA,Total: All usual residents aged 16 years and over,Unemployed
Bromley 001A,E01000779,1148,1
Bromley 001B,E01000780,1278,3
Bromley 001C,E01000781,1183,1
Bromley 001D,E01000782,1172,11
Bromley 001E,E01000783,1226,6
Bromley 001F,E01000785,1199,6
Bromley 002A,E01000689,1241,5
Bromley 002B,E01000690,1102,2
Bromley 002C,E01000691,1227,4
Bromley 002D,E01000692,1321,3
Bromley 002E,E01000784,1212,4
Bromley 004A,E01000799,1435,4
Bromley 004B,E01000802,1506,2
Bromley 004C,E01000803,1335,5
Bromley 004D,E01000804,1171,5
Bromley 004E,E01000805,1374,0
Bromley 005B,E01000741,1548,6
Bromley 005C,E01000742,1760,10
Bromley 005D,E01000745,1536,3
Bromley 005E,E01000746,1659,2
Bromley 005F,E01034383,1082,5
Bromley 005G,E01034384,1039,3
Bromley 006A,E01000709,1179,0
Bromley 006B,E01000710,1996,8
Bromley 006C,E01000711,1613,4
Bromley 006D,E01000714,1810,9
Bromley 006E,E01000718,1633,12
Bromley 007A,E01000645,1174,3
Bromley 007B,E01000649,1651,3
Bromley 007C,E01000694,1809,3
Bromley 007D,E01000695,1241,4
Bromley 007E,E01000696,1367,9
Bromley 007F,E01000697,1457,2
Bromley 008A,E01000674,1383,6
Bromley 008B,E01000676,1687,2
Bromley 008C,E01000820,1294,9
Bromley 008D,E01000822,1251,6
Bromley 008E,E01000823,1360,8
Bromley 008F,E01000824,1119,3
Bromley 008G,E01000825,1352,4
Bromley 009A,E01000743,1564,3
Bromley 009B,E01000744,1264,8
Bromley 009C,E01000796,1190,3
Bromley 009D,E01000798,1272,4
Bromley 009E,E01000800,1362,2
Bromley 009F,E01000806,1332,2
Bromley 010A,E01000693,1304,4
Bromley 010B,E01000698,973,3
Bromley 010C,E01000736,1283,4
Bromley 010D,E01000737,1094,4
Bromley 011A,E01000672,1357,4
Bromley 011B,E01000673,1295,6
Bromley 011C,E01000716,1373,5
Bromley 011D,E01000717,1433,6
Bromley 011E,E01000828,1367,3
Bromley 012A,E01000712,1535,1
Bromley 012B,E01000713,1552,2
Bromley 012C,E01000715,1511,2
Bromley 012D,E01000770,1291,2
Bromley 012E,E01000772,1351,2
Bromley 013A,E01000700,1224,9
Bromley 013B,E01000702,1170,3
Bromley 013C,E01000703,1340,4
Bromley 013D,E01000706,1103,7
Bromley 013E,E01000797,1310,9
Bromley 014A,E01000729,1443,9
Bromley 014B,E01000730,1333,9
Bromley 014C,E01000735,1190,2
Bromley 014D,E01000738,1366,7
Bromley 014E,E01000739,1250,8
Bromley 015A,E01000699,1167,4
Bromley 015B,E01000701,1145,4
Bromley 015C,E01000704,1184,1
Bromley 015D,E01000705,1103,1
Bromley 015E,E01000801,1238,4
Bromley 016A,E01000646,1479,3
Bromley 016B,E01000647,1313,4
Bromley 016C,E01000648,1498,10
Bromley 016D,E01000653,1261,4
Bromley 016E,E01000678,1459,5
Bromley 018A,E01000670,1603,4
Bromley 018C,E01000677,1468,2
Bromley 018D,E01000762,1400,6
Bromley 018E,E01000829,1388,4
Bromley 018F,E01034385,1190,1
Bromley 018G,E01034386,1064,9
